H,Location ID,Local Date,Local Hour,OnOffPeak,Total Cost,RTLO
H,Number,Date,Number,String,Number,Number
D,4000,02/25/2021,3,OFF,26.26,10941.727
D,4000,02/25/2021,4,OFF,25.44,10980.39
D,4000,02/25/2021,5,OFF,29.88,11354.716
D,4000,02/25/2021,6,OFF,31.78,11858.216
D,4000,02/25/2021,7,OFF,44.02,13079.055
D,4000,02/25/2021,8,ON,37.11,13804.867
D,4000,02/25/2021,9,ON,31.51,13774.995
D,4000,02/25/2021,10,ON,27.46,13677.076
D,4000,02/25/2021,11,ON,11.77,13480.671
D,4000,02/25/2021,12,ON,13.39,13339.224
D,4000,02/25/2021,13,ON,8.35,13151.609
D,4000,02/25/2021,14,ON,0.09,13036.067
D,4000,02/25/2021,15,ON,5.64,13043.955
D,4000,02/25/2021,16,ON,34.14,13154.01
D,4000,02/25/2021,17,ON,43.1,14007.385
D,4000,02/25/2021,18,ON,67.64,15234.195
D,4000,02/25/2021,19,ON,65.13,15746.642
D,4000,02/25/2021,20,ON,61,15330.481
D,4000,02/25/2021,21,ON,58.65,14734.717
D,4000,02/25/2021,22,ON,47.75,13952.527
D,4000,02/25/2021,23,ON,39.82,13001.159
D,4000,02/25/2021,24,OFF,33.19,12344.802
D,4000,02/26/2021,1,OFF,31.06,12235.68
D,4000,02/26/2021,2,OFF,28.67,11972.841
D,4000,02/26/2021,3,OFF,29.44,11876.479
D,4000,02/26/2021,4,OFF,30.12,11932.887
D,4000,02/26/2021,5,OFF,30.93,12160.206
D,4000,02/26/2021,6,OFF,38.3,12683.294
D,4000,02/26/2021,7,OFF,57.33,13996.731
D,4000,02/26/2021,8,ON,56.98,14653.642
D,4000,02/26/2021,9,ON,49.53,14428.134
D,4000,02/26/2021,10,ON,39.2,13925.168
D,4000,02/26/2021,11,ON,33.46,13540.415
D,4000,02/26/2021,12,ON,25.9,13269.501
D,4000,02/26/2021,13,ON,25.77,13297.816
D,4000,02/26/2021,14,ON,31.09,13148.269
D,4000,02/26/2021,15,ON,30.16,13074.865
D,4000,02/26/2021,16,ON,31.29,13388.794
D,4000,02/26/2021,17,ON,41.01,14055.159
D,4000,02/26/2021,18,ON,47.77,15144.336
D,4000,02/26/2021,19,ON,60.4,15551.292
D,4000,02/26/2021,20,ON,46.45,15137.182
D,4000,02/26/2021,21,ON,48.37,14580.415
D,4000,02/26/2021,22,ON,48.22,13887.33
D,4000,02/26/2021,23,ON,48.62,13016.246
D,4000,02/26/2021,24,OFF,57.46,12252.99
D,4000,02/27/2021,1,OFF,44.54,11777.398
D,4000,02/27/2021,2,OFF,44.82,11643.002
D,4000,02/27/2021,3,OFF,45.33,11750.327
D,4000,02/27/2021,4,OFF,44.14,11705.128
D,4000,02/27/2021,5,OFF,45.75,11816.527
D,4000,02/27/2021,6,OFF,59.99,11878.292
D,4000,02/27/2021,7,OFF,68.38,12215.935
D,4000,02/27/2021,8,OFF,73.23,12927.752
D,4000,02/27/2021,9,OFF,71,13708.741
D,4000,02/27/2021,10,OFF,74.56,14295.293
D,4000,02/27/2021,11,OFF,69.16,14596.864
D,4000,02/27/2021,12,OFF,69.07,14721.877
D,4000,02/27/2021,13,OFF,63.86,14689.88
D,4000,02/27/2021,14,OFF,58.36,14483.476
D,4000,02/27/2021,15,OFF,52.41,14263.822
D,4000,02/27/2021,16,OFF,57.23,14116.922
D,4000,02/27/2021,17,OFF,60.42,14165.685
D,4000,02/27/2021,18,OFF,58.71,14646.678
D,4000,02/27/2021,19,OFF,63.12,14859.388
D,4000,02/27/2021,20,OFF,48.94,14374.112
D,4000,02/27/2021,21,OFF,47.7,13821.765
D,4000,02/27/2021,22,OFF,50.19,13157.935
D,4000,02/27/2021,23,OFF,37.08,12386.889
D,4000,02/27/2021,24,OFF,47.62,11694.845
D,4000,02/28/2021,1,OFF,71.78,11397.402
D,4000,02/28/2021,2,OFF,61.69,11388.381
D,4000,02/28/2021,3,OFF,63.52,11649.802
D,4000,02/28/2021,4,OFF,44.22,11611.998
D,4000,02/28/2021,5,OFF,42.08,11743.008
D,4000,02/28/2021,6,OFF,40.48,11793.949
D,4000,02/28/2021,7,OFF,37.13,11923.523
D,4000,02/28/2021,8,OFF,40.19,12249.385
D,4000,02/28/2021,9,OFF,69.62,12601.747
D,4000,02/28/2021,10,OFF,58.1,12908.078
D,4000,02/28/2021,11,OFF,68.08,13109.703
D,4000,02/28/2021,12,OFF,56.61,13187.701
D,4000,02/28/2021,13,OFF,47.22,13198.076
D,4000,02/28/2021,14,OFF,67.16,13216.184
D,4000,02/28/2021,15,OFF,67.82,13206.264
D,4000,02/28/2021,16,OFF,52.85,13474.488
D,4000,02/28/2021,17,OFF,66.63,14044.057
D,4000,02/28/2021,18,OFF,74.41,14869.029
D,4000,02/28/2021,19,OFF,78.66,15133.189
D,4000,02/28/2021,20,OFF,55.12,14627.298
D,4000,02/28/2021,21,OFF,55.01,13957.992
D,4000,02/28/2021,22,OFF,43.47,13162.363
D,4000,02/28/2021,23,OFF,36.72,12449.519
D,4000,02/28/2021,24,OFF,47.16,12168.402
T,672 lines,,,,,
